FOLD 1
--------------------------------
Epochs	Epoch loss
1	0.01716
2	0.01680
3	0.01617
4	0.01509
5	0.01329
6	0.01041
7	0.00666
8	0.00439
9	0.00436
10	0.00413
11	0.00409
12	0.00400
13	0.00394
14	0.00386
15	0.00376
16	0.00366
17	0.00354
18	0.00341
19	0.00326
20	0.00309
21	0.00291
22	0.00272
23	0.00251
24	0.00229
25	0.00207
1 th training ends
FOLD 2
--------------------------------
Epochs	Epoch loss
1	0.01761
2	0.01725
3	0.01672
4	0.01615
5	0.01554
6	0.01490
7	0.01427
8	0.01360
9	0.01291
10	0.01222
11	0.01155
12	0.01084
13	0.01017
14	0.00948
15	0.00884
16	0.00819
17	0.00756
18	0.00696
19	0.00638
20	0.00588
21	0.00539
22	0.00499
23	0.00468
24	0.00449
25	0.00441
2 th training ends
FOLD 3
--------------------------------
Epochs	Epoch loss
1	0.01721
2	0.01695
3	0.01663
4	0.01624
5	0.01587
6	0.01545
7	0.01498
8	0.01448
9	0.01396
10	0.01333
11	0.01258
12	0.01163
13	0.01029
14	0.00835
15	0.00592
16	0.00440
17	0.00436
18	0.00422
19	0.00420
20	0.00415
21	0.00412
22	0.00407
23	0.00402
24	0.00397
25	0.00388
3 th training ends
